Amount: 91, Count: 2
Amount: 1225, Count: 2
Amount: 10731, Count: 2
Amount: 24090, Count: 2
Amount: 8646, Count: 2
Amount: 48396, Count: 2
Amount: 46396, Count: 2
Amount: 10585, Count: 2
Amount: 7381, Count: 2
Amount: 48160, Count: 2
Amount: 17955, Count: 2
Amount: 13041, Count: 2
Amount: 18721, Count: 2
Amount: 15576, Count: 2
Amount: 49140, Count: 2
Amount: 44862, Count: 2
Amount: 5050, Count: 2
Amount: 46602, Count: 2
Amount: 46500, Count: 2
Amount: 42012, Count: 2
Amount: 9453, Count: 2
Amount: 47962, Count: 2
Amount: 46290, Count: 2
Amount: 4950, Count: 2
Amount: 44730, Count: 2
Amount: 40962, Count: 2
Amount: 19900, Count: 2
Amount: 12090, Count: 2
Amount: 14365, Count: 2
Amount: 33150, Count: 2
Amount: 8515, Count: 2
Amount: 1035, Count: 2
Amount: 1891, Count: 2
Amount: 49152, Count: 2
Amount: 14706, Count: 2
Amount: 1485, Count: 2
Amount: 3240, Count: 2
Amount: 10011, Count: 2
Amount: 11935, Count: 2
Amount: 36, Count: 2
Amount: 25200, Count: 2
Amount: 38850, Count: 2
Amount: 1176, Count: 2
Amount: 666, Count: 2
Amount: 120, Count: 2
Amount: 30876, Count: 2
Amount: 5253, Count: 2
Amount: 4465, Count: 2
Amount: 378, Count: 2
Amount: 16110, Count: 2
Amount: 12561, Count: 2
Amount: 210, Count: 2
Amount: 42510, Count: 2
Amount: 14878, Count: 2
Amount: 48772, Count: 2
Amount: 703, Count: 2
Amount: 2080, Count: 2
Amount: 38022, Count: 2
Amount: 2145, Count: 2
Amount: 40032, Count: 2
Amount: 45612, Count: 2
Amount: 48690, Count: 2
Amount: 48912, Count: 2
Amount: 7750, Count: 2
Amount: 34146, Count: 2
Amount: 16653, Count: 2
Amount: 41842, Count: 2
Amount: 13695, Count: 2
Amount: 48646, Count: 2
Amount: 45730, Count: 2
Amount: 28441, Count: 2
Amount: 36270, Count: 2
Amount: 1326, Count: 2
Amount: 4005, Count: 2
Amount: 1275, Count: 2
Amount: 48600, Count: 2
Amount: 300, Count: 2
Amount: 49096, Count: 2
Amount: 10878, Count: 2
Amount: 36720, Count: 2
Amount: 465, Count: 2
Amount: 44460, Count: 2
Amount: 18915, Count: 2
Amount: 32896, Count: 2
Amount: 22791, Count: 2
Amount: 15225, Count: 2
Amount: 39840, Count: 2
Amount: 990, Count: 2
Amount: 22155, Count: 2
Amount: 3081, Count: 2
Amount: 49110, Count: 2
Amount: 3003, Count: 2
Amount: 2346, Count: 2
Amount: 4371, Count: 2
Amount: 1431, Count: 2
Amount: 19503, Count: 2
Amount: 4095, Count: 2
Amount: 38232, Count: 2
Amount: 29890, Count: 2
Amount: 1, Count: 2
Amount: 12246, Count: 2
Amount: 15753, Count: 2
Amount: 5460, Count: 2
Amount: 11628, Count: 2
Amount: 32385, Count: 2
Amount: 7140, Count: 2
Amount: 44040, Count: 2
Amount: 47892, Count: 2
Amount: 2415, Count: 2
Amount: 45492, Count: 2
Amount: 21, Count: 2
Amount: 9045, Count: 2
Amount: 17020, Count: 2
Amount: 903, Count: 2
Amount: 10440, Count: 2
Amount: 30628, Count: 2
Amount: 25425, Count: 2
Amount: 30381, Count: 2
Amount: 37596, Count: 2
Amount: 33402, Count: 2
Amount: 595, Count: 2
Amount: 1596, Count: 2
Amount: 39052, Count: 2
Amount: 41142, Count: 2
Amount: 23005, Count: 2
Amount: 42672, Count: 2
